class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,class
metal,0.532,252.7381,0.53,241.43651,0.573,250.21428,0.586,233.40475,0.591,437.9365,0.641,434.07938,0.553,291.33334,0.93,84.03968,0.441,330.6508,0.797,49.73016,1.157,249.96031,1.129,46.5,1.221,105.85714,0,0,0
metal,0.523,248.31746,0.521,249.84126,0.56,261.48413,0.597,234.46031,0.591,444.33334,0.642,438.5238,0.549,321.6905,0.941,74.81746,0.444,337.53174,0.818,48.849205,1.151,259.65872,1.152,52.039684,1.228,99.150795,0,0,0
metal,0.503,237.2619,0.485,243.24603,0.515,255.74603,0.609,216.03969,0.59,440.96033,0.646,432.36508,0.474,397.96033,0.91,39.539684,0.412,352.70636,0.773,15.968254,1.087,372.7619,1.198,48.579365,1.217,113.89683,0,0,0
metal,0.513,235.3254,0.524,217.30159,0.574,220.0873,0.569,197.95238,0.586,409.7857,0.634,401.3889,0.562,134.98413,0.859,142.16667,0.458,211.16667,0.746,97.74603,1.15,220.27777,0.979,26.809525,1.139,110.48412,0,0,0
metal,0.524,256.7857,0.512,259.12698,0.542,270.68253,0.616,243.38095,0.594,458.66666,0.646,453.12698,0.514,371.7143,0.978,52.095238,0.431,370.2143,0.835,28.325397,1.168,237.5238,1.206,47.76984,1.257,85.02381,0,0,0
metal,0.422,183.57143,0.468,161.30952,0.537,172.83333,0.478,138.74603,0.581,344.1905,0.624,336.55554,0.479,73.42857,0.716,187.46031,0.394,115.28571,0.606,114.730156,1.078,249.5,0.864,35.095238,0.986,95.90476,0,0,0
metal,0.538,264.92062,0.517,269.16666,0.546,282.39682,0.623,248.98413,0.594,461.7143,0.649,454.7619,0.52,381.61905,0.995,47.56349,0.436,385.57938,0.843,27.238094,1.182,243.38889,1.244,55.460316,1.301,96.39683,0,0,0
metal,0.564,262.62698,0.538,270.0873,0.573,283.1111,0.625,253.40475,0.592,465.96033,0.645,460.44446,0.573,345.05554,1.013,68.611115,0.458,369.92062,0.866,44.626984,1.197,251.7619,1.209,50.95238,1.289,99.14286,0,0,0
metal,0.552,251.61905,0.555,231.73016,0.599,239.12698,0.59,216.34921,0.589,424.4524,0.636,414.73016,0.605,135.64285,0.903,137.11905,0.489,234.0238,0.794,110.77778,1.183,215.36508,1.022,35.857143,1.214,131.00793,0,0,0
metal,0.516,242.72223,0.519,230.28572,0.564,242.27777,0.563,215,0.588,421.48413,0.634,414.23016,0.568,170.76984,0.886,117.007935,0.442,264.42062,0.761,75.97619,1.161,186.86508,1.032,30.285715,1.173,95.61905,0,0,0
metal,0.526,247.69048,0.527,236.70634,0.572,243.4127,0.582,224.7619,0.589,435.0635,0.639,426.4762,0.554,252.8254,0.92,98.18254,0.436,295.1111,0.79,63.22222,1.166,216.14285,1.084,37.38889,1.204,94.492065,0,0,0
metal,0.532,248.10318,0.526,250.51587,0.566,258.1111,0.592,241.26984,0.591,449.9524,0.642,439.31747,0.577,300.1111,0.952,71.43651,0.458,349.34128,0.814,41.88095,1.169,231.00793,1.16,33.515873,1.239,84.531746,0,0,0
metal,0.504,231.51587,0.537,191.6746,0.612,198.7619,0.545,171.38889,0.583,380.0238,0.629,373.2381,0.558,61.81746,0.831,219.33333,0.454,131.26984,0.69,135.07936,1.182,263.11905,0.897,21.984127,1.08,110.81746,0,0,0
metal,0.537,262.46826,0.515,262.76984,0.549,275.5,0.617,248.21428,0.593,461.0476,0.645,453.19843,0.541,353.8254,0.988,51.198414,0.452,382.87302,0.841,25.833334,1.182,243.07936,1.226,32.285713,1.276,82.349205,0,0,0
metal,0.537,260.03174,0.523,258.6508,0.558,268.42856,0.597,241.06349,0.592,451.2619,0.642,447.46033,0.543,307.48413,0.966,70.12698,0.43,341.57938,0.827,46.79365,1.186,194.24603,1.168,49.99206,1.264,93.36508,0,0,0
metal,0.534,260.10318,0.516,263.30157,0.547,277.80157,0.624,241.15874,0.593,457.72223,0.646,451.20636,0.534,367.8492,0.979,50.896824,0.441,372.49207,0.836,29.880953,1.166,283.2381,1.222,37.960316,1.282,99.55556,0,0,0
metal,0.514,242.07143,0.512,239.24603,0.565,247.75397,0.565,218.60318,0.59,429.42062,0.64,420.2619,0.579,243.85715,0.904,92.36508,0.447,311.77777,0.763,41.904762,1.147,248.39682,1.102,33.031746,1.185,88.333336,0,0,0
metal,0.48,228.83333,0.508,199.7619,0.567,206.53175,0.553,176.96825,0.586,391.2381,0.632,384.66666,0.525,153.80159,0.819,154.63492,0.425,194.24603,0.703,97.81746,1.115,273.79364,0.957,37.261906,1.085,107.67461,0,0,0
metal,0.529,248.00793,0.516,253.56349,0.559,265.6905,0.592,229.40475,0.592,445.87302,0.647,437.46033,0.548,351.53967,0.942,65.09524,0.444,350.69843,0.796,30.47619,1.128,315.03967,1.177,86.93651,1.221,121.89683,0,0,0
metal,0.542,267.68253,0.519,270.48413,0.551,282.03174,0.643,244.76984,0.592,466.13492,0.649,457.35715,0.532,421.25397,1.001,40.912697,0.452,393.3254,0.858,21.325397,1.146,340.37302,1.27,59.214287,1.297,110.37302,0,0,0
metal,0.538,247.03175,0.53,232.94444,0.574,240.69048,0.585,227.06349,0.589,433.14285,0.64,424.79364,0.579,185.79366,0.917,105.21429,0.453,276.33334,0.79,72.52381,1.18,177.14285,1.062,18.642857,1.206,89.190475,0,0,0
metal,0.531,256,0.508,246.56349,0.546,258.1905,0.59,229.16667,0.591,439.46033,0.642,431.4762,0.545,269.5476,0.928,77.007935,0.427,325.57938,0.787,43.873016,1.155,229.94444,1.138,28.539682,1.225,85.96032,0,0,0
metal,0.508,242.15079,0.528,222.81746,0.578,230.03969,0.543,190.77777,0.587,396.57938,0.633,393.2619,0.571,113.31746,0.852,155.83333,0.462,181.92064,0.733,110.27778,1.159,225.80159,0.956,24.47619,1.152,118.349205,0,0,0
metal,0.523,247.49207,0.517,241.64285,0.555,256.37302,0.594,218.87302,0.589,433.9127,0.639,427.53174,0.556,227.30952,0.921,95.05556,0.433,292.0476,0.786,63,1.163,246.68254,1.084,60.365078,1.198,118.349205,0,0,0
metal,0.574,259.83334,0.548,259.1508,0.589,269.8492,0.613,244.4762,0.591,450.22223,0.643,443.6111,0.616,237.9127,0.983,96.87302,0.483,330.07144,0.842,67.4127,1.203,247.24603,1.15,36.785713,1.273,113.03968,0,0,0
metal,0.526,245.50793,0.523,248.19841,0.565,260.29364,0.593,235.86508,0.592,444.40475,0.643,437.3254,0.57,288.5,0.94,74.70635,0.449,337.6508,0.81,48.103176,1.163,243.04762,1.141,44.468254,1.224,99.85714,0,0,0
metal,0.523,259.2143,0.531,247.65874,0.573,256.23016,0.603,238.71428,0.591,446.87302,0.64,438.20636,0.569,257.53174,0.96,99.78571,0.448,327.05554,0.818,59.809525,1.192,210.79366,1.121,24.61111,1.225,77.10317,0,0,0
metal,0.533,250.40475,0.527,256.1905,0.56,265.5238,0.598,241.6746,0.591,454.0238,0.643,445.64285,0.549,325.99207,0.956,64.20635,0.44,346.51587,0.827,40.92857,1.167,220.96825,1.163,47.07143,1.261,101.833336,0,0,0
metal,0.533,250.00793,0.537,248.79366,0.583,253.75397,0.594,234.7381,0.59,443.38095,0.641,435.50793,0.59,246.96031,0.941,94.52381,0.472,316.8492,0.819,66.96032,1.18,236.6746,1.108,44.99206,1.224,109.65873,0,0,0
metal,0.53,256.15872,0.516,254.48413,0.549,262.92856,0.616,239.0873,0.593,453.53174,0.647,444.75397,0.535,354.30157,0.965,59.103176,0.432,358.1905,0.814,30.706348,1.157,270.99207,1.196,30.420635,1.253,85.230156,0,0,0
metal,0.578,270.70636,0.541,271.1111,0.574,281.33334,0.627,259.38095,0.592,471.73016,0.647,461.18253,0.583,315.8889,1.028,72.5873,0.47,378.5635,0.878,43.920635,1.227,216.54762,1.21,29.293652,1.301,86.72222,0,0,0
metal,0.524,253.64285,0.519,249.92064,0.555,264.31747,0.595,241.62698,0.591,451.10318,0.643,440.37302,0.569,301.81747,0.953,64.111115,0.457,351.0238,0.82,43.103176,1.155,240.1746,1.174,36.531746,1.242,84.65873,0,0,0
metal,0.554,258.26984,0.549,257.8492,0.59,265.38095,0.606,243.2381,0.592,452.72223,0.641,446.39682,0.583,262.3889,0.985,109.92857,0.457,319.5238,0.843,72.2619,1.225,217.48413,1.134,29.698412,1.268,95.96032,0,0,0
metal,0.527,242.59525,0.543,220.83333,0.597,228.01587,0.574,201.43651,0.587,407.3095,0.63,402.10318,0.585,102.24603,0.881,167.64285,0.473,192.4762,0.761,127.45238,1.193,231.7381,0.971,32.674603,1.155,124.35714,0,0,0
metal,0.523,249.39682,0.519,237.96825,0.557,247.93651,0.583,230.53175,0.59,437.2381,0.64,432.59525,0.569,220.46031,0.921,88.32539,0.444,310.5635,0.795,60.5,1.17,176.10318,1.093,26.285715,1.207,81.269844,0,0,0
metal,0.507,243.40475,0.507,235.56349,0.546,242.54762,0.579,229.78572,0.591,436.3095,0.64,432.4365,0.552,286.80157,0.908,63.57143,0.443,338.16666,0.78,34.27778,1.127,216.61111,1.13,32.88095,1.194,76.94444,0,0,0
metal,0.522,245.4762,0.528,244.60318,0.573,251.77777,0.595,237.51587,0.591,447.77777,0.64,440.5,0.57,273.72223,0.947,82.93651,0.455,339.2619,0.819,51.968254,1.183,192.9762,1.132,25.873016,1.222,75.59524,0,0,0
metal,0.524,246.84126,0.54,236.69048,0.589,248.09525,0.57,215.94444,0.589,424.7619,0.638,414.3889,0.594,172.20634,0.908,128.84921,0.473,255.0238,0.791,90.111115,1.175,215.4762,1.043,31.285715,1.198,106.63492,0,0,0
metal,0.533,253.23016,0.52,250.11905,0.558,260.05554,0.604,235.34126,0.592,448.7619,0.643,442.0238,0.543,356.7619,0.955,65.45238,0.435,346.5476,0.812,36.88889,1.14,278.98413,1.177,50.444443,1.235,92.51588,0,0,0
metal,0.505,225.89682,0.517,211.63492,0.571,216.99207,0.546,188.57936,0.587,396.25397,0.631,390.03174,0.563,130.57936,0.833,144.10318,0.455,189.42064,0.719,97.01588,1.138,233.30952,0.969,26.730158,1.128,112.37302,0,0,0
metal,0.504,232.92064,0.507,230.55556,0.551,237.88095,0.564,224.93651,0.59,430.4127,0.638,424.42856,0.565,230.23016,0.896,82.190475,0.439,315.88095,0.758,41.93651,1.145,194.11905,1.094,37.93651,1.176,79.82539,0,0,0
metal,0.528,245.53969,0.528,230.42064,0.591,239.53969,0.577,216.14285,0.589,425.0476,0.639,419.3095,0.576,255.4127,0.91,112.333336,0.437,302.1905,0.747,46.31746,1.149,298.96826,1.096,42.650795,1.179,104.42857,0,0,0
metal,0.533,256.03967,0.522,261.4365,0.556,272.39682,0.601,247.8254,0.593,459.46826,0.645,453.6111,0.547,375.92062,0.977,49.15873,0.456,382.83334,0.842,24.849207,1.166,229.5873,1.223,42.34127,1.271,83.5,0,0,0
metal,0.513,242.86508,0.513,239.22223,0.561,250.80952,0.592,222.01587,0.59,434.33334,0.642,425.2619,0.54,331.6746,0.918,80.309525,0.43,329.03174,0.778,38.753967,1.127,330.42062,1.144,50.11111,1.196,111.34127,0,0,0
metal,0.503,224.99207,0.508,214.7619,0.568,226.69048,0.538,191.54762,0.587,399.65872,0.635,394.18253,0.543,197.30159,0.84,128.11111,0.415,243.72223,0.7,65.7381,1.119,258.65872,1.019,47.904762,1.125,106.85714,0,0,0
metal,0.49,222.36508,0.518,203.35715,0.578,211.18254,0.546,182.04762,0.586,389.4762,0.631,385.3254,0.555,132.3254,0.823,158.19841,0.446,195.94444,0.703,100.34127,1.125,271.1746,0.967,37.81746,1.103,116.59524,0,0,0
metal,0.535,252.96825,0.521,262.31747,0.558,271.05554,0.601,246.95238,0.592,456.96033,0.645,453.33334,0.548,372.27777,0.977,55.88889,0.45,377.2381,0.834,26.52381,1.175,243.79366,1.221,45.02381,1.273,87.82539,0,0,0
metal,0.542,259.84128,0.525,266.8095,0.559,278.38095,0.618,247.92857,0.593,467.03174,0.645,457.29364,0.55,390.8095,0.991,50.698414,0.453,383.4762,0.848,23.801588,1.171,267.9762,1.236,44.77778,1.286,97.64286,0,0,0
metal,0.548,255.43651,0.53,264.3254,0.566,273.46826,0.617,254.85715,0.591,466.8095,0.648,455.12698,0.559,364.34128,0.996,55.809525,0.455,383.4762,0.852,28.960318,1.193,238.88889,1.23,37.93651,1.291,88.65873,0,0,0
