class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,class label
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.84,4.0873017,0.867,4.126984,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.841,4.071429,0.868,4.15873,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.843,4.126984,0.864,4.1349206,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.832,3.936508,0.856,4.2222223,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.838,4.1825395,0.868,4.0634923,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.854,3.952381,0.903,3.8015873,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.849,3.9603174,0.883,3.9047618,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.838,4.0079365,0.889,3.8809524,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.853,3.9682539,0.859,4.095238,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.825,4.3492064,0.865,4.126984,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
jazz,0.858,1.7698413,0.592,2.3253968,0.774,3.1507936,0.819,2.7063491,0.834,4.0873017,0.89,3.9126985,0.72,2.0873015,1.706,2.420635,0.328,2.6031747,0.803,0.8174603,1.393,2.7857144,1.044,0.007936508,1.138,0.65873015,-0.003,0,3
