class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,class
blues,0.839,2.0555556,0.677,2.7063491,0.845,3.484127,0.842,2.8015873,0.682,4.0238094,0.715,4.031746,0.712,2.9603174,1.704,2.0317461,0.31,3.7142856,1.006,0.6984127,1.792,2.1984127,1.194,0.007936508,1.254,0.31746033,-0.006,0,1
blues,0.847,1.6666666,0.634,3.4603174,0.774,4.111111,0.804,2.6111112,0.682,4.071429,0.738,4.1031747,0.674,3.8333333,1.708,1.7539682,0.306,3.8412697,0.936,0.30952382,1.758,2.4444444,1.395,0.26984128,1.458,0.61904764,-0.006,0,1
blues,0.815,2.2936509,0.669,2.9126985,0.837,3.5952382,0.777,2.1666667,0.679,3.7539682,0.736,3.515873,0.697,1.968254,1.285,1.8174603,0.388,3.0317461,0.812,0.37301588,1.432,2.8253968,1.001,0,1.039,0.2936508,-0.006,0,1
blues,0.899,1.6507937,0.67,3.1904762,0.805,3.8095238,0.806,2.6190476,0.679,3.9444444,0.723,4.0793653,0.665,3.7777777,1.69,1.6587301,0.284,3.8174603,0.934,0.24603175,1.574,2.0079365,1.322,0.007936508,1.36,0.43650794,-0.006,0,1
blues,0.857,1.9047619,0.654,2.857143,0.822,3.5,0.82,2.3968253,0.675,3.7698412,0.733,3.5555556,0.679,2.7619047,1.49,2.6031747,0.303,3.1746032,0.845,0.75396824,1.627,2.984127,1.107,0.08730159,1.169,0.42857143,-0.006,0,1
blues,0.867,1.8333334,0.643,2.9126985,0.795,3.5714285,0.755,2.2777777,0.678,3.5079365,0.723,3.4920635,0.668,2.3888888,1.328,1.7857143,0.318,3.1746032,0.768,0.43650794,1.404,2.0079365,1.049,0.007936508,1.088,0.2857143,-0.006,0,1
blues,0.808,2.2539682,0.621,2.5952382,0.777,3.3174603,0.697,1.8253968,0.675,3.452381,0.695,3.357143,0.656,1.1825397,1.122,1.8968254,0.324,2.2936509,0.65,0.37301588,1.312,2.1666667,0.929,0,0.958,0.20634921,-0.006,0,1
blues,0.896,1.3253968,0.673,3.3015873,0.805,3.8412697,0.83,2.8412697,0.672,4.3095236,0.718,4.111111,0.704,4.3095236,1.918,1.6984127,0.327,4.174603,0.977,0.74603176,1.828,2.3968253,1.45,0.21428572,1.489,0.3809524,-0.006,0,1
blues,0.816,2.063492,0.566,2.3174603,0.717,3,0.601,1.1349206,0.667,2.8174603,0.701,2.7936509,0.602,0.5,0.895,1.5873016,0.289,1.4365079,0.485,0.22222222,1.115,1.6111112,0.834,0,0.858,0.14285715,-0.006,0,1
blues,0.867,1.6587301,0.663,3.2222223,0.789,3.8968253,0.818,2.6984127,0.676,4.1507936,0.741,3.9047618,0.684,3.6031747,1.682,1.7539682,0.31,3.9603174,0.863,0.32539684,1.642,2.484127,1.338,0.015873017,1.386,0.4047619,-0.006,0,1
blues,0.856,1.9285715,0.655,3.0079365,0.82,3.5714285,0.819,2.6111112,0.678,4.1904764,0.707,4.174603,0.669,3.8888888,1.752,1.8095238,0.296,4.2619047,1.043,0.5793651,1.694,2.1904762,1.243,0.17460318,1.28,0.34126985,-0.006,0,1
blues,0.789,2.357143,0.727,3.0079365,0.852,3.7301588,0.823,2.1746032,0.681,3.7857144,0.728,3.6190476,0.705,1.8492063,1.412,2.3492064,0.382,3.4047618,0.911,0.6666667,1.588,2.8730159,1.028,0,1.108,0.34920636,-0.005,0,1
blues,0.84,1.8809524,0.626,2.8968253,0.82,3.6349206,0.776,2.1349206,0.665,3.7222223,0.705,3.7142856,0.628,3,1.413,1.6269841,0.276,3.4047618,0.799,0.21428572,1.497,2.0079365,1.099,0.2777778,1.116,0.2936508,-0.006,0,1
blues,0.857,1.6349206,0.656,3.452381,0.776,4.0555553,0.828,2.7936509,0.675,3.8412697,0.747,4.0634923,0.684,3.6746032,1.661,1.6666666,0.355,3.9603174,0.915,0.26984128,1.701,2.8015873,1.398,0.6984127,1.467,0.6666667,-0.005,0,1
blues,0.834,1.9761904,0.624,2.9047618,0.789,3.5079365,0.786,2.2857144,0.661,3.8888888,0.723,3.9285715,0.637,3.0714285,1.538,1.8888888,0.272,3.4682539,0.843,0.44444445,1.511,2.3095238,1.15,0,1.173,0.43650794,-0.006,0,1
blues,0.782,1.7936507,0.549,2.1269841,0.7,2.8174603,0.591,1.2301587,0.67,2.5238094,0.67,2.7539682,0.603,0.5952381,0.872,1.6904762,0.235,1.4920635,0.371,0.13492064,1.142,2,0.857,0.08730159,0.871,0.20634921,-0.006,0,1
blues,0.838,1.7777778,0.667,3.2857144,0.827,3.8809524,0.832,2.3015873,0.686,3.7142856,0.729,3.7460318,0.702,3.079365,1.464,1.6904762,0.393,3.4603174,0.858,0.2936508,1.502,2.7857144,1.219,0.26984128,1.251,0.5555556,-0.006,0,1
blues,0.853,1.8253968,0.657,3.1746032,0.821,3.7857144,0.81,2.5555556,0.681,3.6666667,0.707,3.8968253,0.682,2.9682539,1.494,1.8174603,0.35,3.7063491,0.853,0.32539684,1.507,2.2936509,1.165,0,1.206,0.37301588,-0.006,0,1
blues,0.857,1.4603175,0.618,3.0079365,0.784,3.6190476,0.793,2.3492064,0.686,3.8650794,0.707,3.8174603,0.662,2.920635,1.447,1.6587301,0.299,3.0555556,0.756,0.30952382,1.545,2.3492064,1.228,0.15873016,1.256,0.42857143,-0.006,0,1
