class label,FT1 value a,FT1 value b,FT2 value a,FT2 value b,FT3 value a,FT3 value b,FT4 value a,FT4 value b,FT5 value a,FT5 value b,FT6 value a,FT6 value b,FT7 value a,FT7 value b,FT8 value a,FT8 value b,FT9 value a,FT9 value b,FT10 value a,FT10 value b,FT11 value a,FT11 value b,FT12 value a,FT12 value b,FT13 value a,FT13 value b,FT14 value a,FT14 value b,class label
pop,0.597,2.0396826,0.787,1.7539682,1.09,2.5873015,0.556,0.82539684,0.691,4.071429,0.723,4.0396824,0.684,2.8015873,0.757,0.97619045,0.406,1.4761904,0.588,0.11111111,1.001,3.515873,1.001,4.6190476,1.146,3.6666667,0,0,2
pop,0.545,2.2142856,0.756,1.6825397,1.078,2.5317461,0.542,0.75396824,0.685,4.174603,0.737,4.1031747,0.621,2.4603174,0.74,0.7063492,0.388,1.4603175,0.586,0.03968254,1.008,3.5555556,1.002,4.6507936,1.15,3.9920635,0,0,2
pop,0.549,2.1111112,0.719,1.7460318,1.019,2.7142856,0.51,0.7777778,0.685,3.952381,0.73,3.984127,0.664,2.5396826,0.715,0.85714287,0.376,1.4444444,0.559,0.03968254,0.981,3.3174603,1.017,4.2063494,1.126,3.7777777,0,0,2
pop,0.705,2.3015873,0.923,2.3730159,1.163,3.2777777,0.683,1.2460318,0.677,4.2222223,0.705,4.0793653,0.768,2.936508,0.88,1.1746032,0.545,2.2460318,0.768,0.14285715,1.053,3.1825397,0.989,4.65873,1.239,3.3809524,0,0,2
pop,0.69,2.2539682,0.854,1.9365079,1.132,2.7063491,0.635,1.1587301,0.68,3.984127,0.717,3.8968253,0.703,2.8968253,0.846,0.9047619,0.431,1.7380953,0.708,0.055555556,1.087,3.5,1.002,4.484127,1.189,3.7777777,0,0,2
pop,0.761,2.079365,0.888,2.8095238,1.063,3.6111112,0.717,1.6031746,0.676,4.2063494,0.754,3.9285715,0.821,2.920635,1.006,1.2460318,0.573,2.8650794,0.832,0.15079366,1.135,3.4126985,1.097,3.7698412,1.279,2.9285715,0,0,2
pop,0.538,2.3095238,0.841,1.6666666,1.172,2.579365,0.56,0.8015873,0.698,4.0396824,0.685,4.174603,0.637,2.6904762,0.751,0.6031746,0.389,1.1984127,0.643,0,1.018,3.1825397,0.975,4.730159,1.173,4.1507936,0,0,2
pop,0.591,2.063492,0.761,1.8095238,1.039,2.6904762,0.537,0.78571427,0.67,4.095238,0.694,4.111111,0.653,2.2063491,0.746,0.984127,0.365,1.3412699,0.538,0.03968254,1.057,3.5952382,0.989,4.7460318,1.128,3.857143,0,0,2
pop,0.603,2.1825397,0.789,1.8333334,1.115,2.7063491,0.58,0.96825397,0.682,4.1904764,0.718,3.984127,0.652,2.4285715,0.794,0.95238096,0.417,1.6904762,0.655,0.023809524,1.071,3.7063491,0.993,4.7380953,1.131,3.8809524,0,0,2
pop,0.545,2.1190476,0.852,1.6825397,1.19,2.5396826,0.552,0.73015875,0.677,4.2063494,0.72,3.9047618,0.648,2.6507936,0.775,0.8888889,0.405,1.4761904,0.633,0,1.042,3.8412697,0.989,4.7460318,1.144,4.0634923,0,0,2
pop,0.597,2.3730159,0.802,1.8095238,1.115,2.7301588,0.586,0.7936508,0.677,4.047619,0.686,4.174603,0.643,3.0952382,0.785,0.5,0.393,1.5476191,0.633,0,0.985,3.452381,0.985,4.65873,1.152,4.0238094,0,0,2
pop,0.608,2.0952382,0.75,1.7619047,1.044,2.5396826,0.53,0.8333333,0.7,3.9920635,0.754,3.8888888,0.69,2.6031747,0.762,0.9285714,0.39,1.2063493,0.559,0.103174604,1.02,3.2380953,1.007,4.5079365,1.135,3.7380953,0,0,2
pop,0.739,2.1349206,0.867,2.1746032,1.125,2.9444444,0.65,1.0873016,0.693,4.1349206,0.727,3.984127,0.701,2.5079365,0.907,0.99206346,0.459,1.9761904,0.706,0.071428575,1.142,3.857143,1.016,4.6666665,1.232,3.484127,0,0,2
pop,0.612,2.0952382,0.899,1.8730159,1.18,2.7619047,0.639,1.031746,0.691,4.2063494,0.722,4.071429,0.7,2.9444444,0.835,1.031746,0.471,1.531746,0.695,0.03968254,1.053,3.8412697,0.98,4.7539682,1.182,3.952381,0,0,2
pop,0.758,2.063492,0.855,2.6190476,1.076,3.3174603,0.691,1.4603175,0.681,4.1904764,0.746,3.9682539,0.801,2.9285715,0.974,1.2698413,0.551,2.5317461,0.803,0.11904762,1.168,3.2777777,1.055,4.3650794,1.232,2.9920635,0,0,2
pop,0.703,2.3095238,0.821,2.1269841,1.082,2.8968253,0.665,1.1825397,0.686,3.9682539,0.69,4.2460318,0.64,2.7380953,0.893,0.8492063,0.441,1.9603175,0.748,0.04761905,1.137,4.031746,1.015,4.6666665,1.189,3.8333333,0,0,2
pop,0.737,2.1269841,0.833,2.6587303,1.037,3.5,0.695,1.5238096,0.69,4.2063494,0.736,4.015873,0.783,2.9761906,0.99,1.0714285,0.581,2.7698412,0.797,0.14285715,1.131,3.5,1.097,3.3253968,1.24,2.920635,0,0,2
pop,0.646,2.3333333,0.88,1.9444444,1.167,2.8253968,0.642,1,0.679,4,0.69,4.047619,0.672,2.6984127,0.856,0.9285714,0.447,1.6349206,0.722,0.03968254,1.098,3.6111112,0.981,4.7222223,1.19,3.8968253,0,0,2
pop,0.495,2.0714285,0.759,1.6111112,1.086,2.4920635,0.516,0.6984127,0.685,3.8888888,0.684,4.142857,0.642,2.920635,0.706,0.50793654,0.362,1.2698413,0.568,0.023809524,0.964,3.0238094,0.977,4.7222223,1.111,4.0873017,0,0,2
pop,0.707,2.3015873,0.734,2.015873,1.032,2.8888888,0.585,1.0079365,0.698,3.9126985,0.738,3.8333333,0.695,2.579365,0.85,1.0555556,0.397,1.8253968,0.632,0.11111111,1.069,3.7619047,1.059,3.8412697,1.149,3.436508,0,0,2
pop,0.463,2.0238094,0.772,1.5,1.131,2.3968253,0.517,0.65873015,0.69,4.0555553,0.697,3.9920635,0.636,2.952381,0.7,0.6984127,0.338,1.1984127,0.562,0.03968254,0.961,3.2698412,0.985,4.7063494,1.119,4.126984,0,0,2
pop,0.743,2.1190476,0.833,2.2619047,1.091,3.1111112,0.652,1.1666666,0.679,3.9761906,0.72,4.0873017,0.713,2.7857144,0.877,1.1269841,0.482,1.9523809,0.723,0.0952381,1.08,3.8968253,1.021,4.3650794,1.192,3.436508,0,0,2
pop,0.738,2.1269841,0.88,2.6507936,1.087,3.4444444,0.703,1.4047619,0.685,4.071429,0.713,4.2222223,0.757,2.6269841,1.001,1.1111112,0.545,2.7380953,0.826,0.07936508,1.185,3.547619,1.058,4.34127,1.272,3.015873,0,0,2
pop,0.411,2.2936509,0.74,1.2936507,1.126,2.2539682,0.444,0.5,0.663,4.0238094,0.705,3.857143,0.615,2.9603174,0.66,0.4047619,0.309,1.0793651,0.47,0.007936508,0.915,2.9047618,0.967,4.6904764,1.077,4.3492064,0,0,2
pop,0.717,2.4047618,0.839,2.063492,1.089,2.9047618,0.659,1.1984127,0.692,4.071429,0.714,4.071429,0.7,2.9603174,0.879,1.2619047,0.442,2.015873,0.711,0.055555556,1.139,3.7698412,1.031,4.571429,1.202,3.5396826,0,0,2
pop,0.723,2.1190476,0.849,2.6507936,1.068,3.484127,0.678,1.3809524,0.682,4.2222223,0.742,4.15873,0.784,2.952381,0.957,1.1746032,0.511,2.6031747,0.793,0.06349207,1.099,3.936508,1.056,4.3333335,1.248,3.047619,0,0,2
pop,0.752,2.1666667,0.875,2.3412697,1.085,3.1825397,0.68,1.4523809,0.684,4.0238094,0.746,3.8650794,0.76,3.0952382,0.939,1.2142857,0.506,2.6349206,0.763,0.17460318,1.11,3.6984127,1.05,4.373016,1.248,3.142857,0,0,2
pop,0.68,2.452381,0.847,2.2142856,1.108,3.0714285,0.634,1.2063493,0.686,4.174603,0.738,3.7619047,0.692,3.4603174,0.883,1.0396825,0.449,2.4444444,0.745,0.023809524,1.078,4.095238,1.028,4.3333335,1.219,3.6031747,0,0,2
pop,0.413,1.9603175,0.683,1.3650794,1.069,2.3333333,0.461,0.4920635,0.691,4.095238,0.682,4.2460318,0.606,2.7698412,0.639,0.61904764,0.311,1.0238096,0.462,0.015873017,0.93,3.1746032,0.975,4.7063494,1.074,4.15873,0,0,2
pop,0.696,2.2539682,0.881,2.0714285,1.133,2.9444444,0.655,1.1269841,0.68,4.0873017,0.739,3.9047618,0.679,2.7460318,0.889,1.0793651,0.472,1.9603175,0.739,0.04761905,1.12,4.230159,1.008,4.7619047,1.213,3.7619047,0,0,2
pop,0.707,2.0952382,0.805,2.0714285,1.069,2.8253968,0.613,1.0476191,0.674,4.1190476,0.713,4.111111,0.687,2.7063491,0.801,1.1031746,0.428,1.7301587,0.654,0.103174604,1.053,3.8174603,0.998,4.6507936,1.171,3.6984127,0,0,2
pop,0.698,2.0873015,0.863,1.968254,1.128,2.6904762,0.603,1.0476191,0.689,4.2460318,0.702,4.34127,0.723,2.7222223,0.807,1.0238096,0.435,1.9047619,0.661,0.06349207,1.066,3.1031747,1.019,4.3809524,1.212,3.6507936,0,0,2
pop,0.504,2.015873,0.765,1.5238096,1.097,2.4444444,0.529,0.6666667,0.679,4.095238,0.693,4.1507936,0.646,2.6031747,0.723,0.9444444,0.323,1.2698413,0.529,0.055555556,1.023,3.484127,0.988,4.730159,1.128,4.0873017,0,0,2
pop,0.63,2.142857,0.873,1.9047619,1.18,2.7301588,0.586,0.9126984,0.692,4.095238,0.678,4.1904764,0.71,2.857143,0.815,0.8888889,0.441,1.5396825,0.648,0.08730159,1.064,3.2698412,0.979,4.5555553,1.164,3.8412697,0,0,2
pop,0.758,2.1031747,0.816,3.063492,0.982,3.8492064,0.711,1.7142857,0.704,4.015873,0.758,4.1825395,0.755,3.5873015,1.099,1.0555556,0.551,3.6031747,0.88,0.04761905,1.22,4.015873,1.161,3.047619,1.296,2.5079365,0,0,2
